NOMAD1,YM,RAJ2000,DEJ2000,r,pmRA,e_pmRA,pmDE,e_pmDE,Bmag,r_Bmag,Vmag,r_Vmag,Rmag,r_Rmag,Jmag,Hmag,Kmag,R
0689-0021752,.M,30.0012831,-21.0778317,H,133.0,0.6,-24.5,0.5,5.591,T,3.998,T,3.120,B,1.000,0.163,-0.006,
0691-0021285,YM,29.9424978,-20.8245386,H,17.9,0.6,15.1,0.5,7.085,T,5.450,T,4.570,B,2.185,1.389,1.205,
0687-0018621,YM,24.7157869,-21.2753844,H,129.5,0.7,37.1,0.5,5.876,T,5.580,T,5.390,B,5.038,4.831,4.751,
0730-0030235,YM,28.2171367,-16.9292500,H,41.3,0.7,-51.9,0.7,6.020,T,5.789,T,5.650,B,5.246,5.110,5.049,
0723-0037535,YM,35.5207611,-17.6621694,H,9.0,0.6,-58.1,0.5,7.147,T,5.876,T,5.100,B,4.163,3.408,3.277,
0746-0024252,.M,36.5014550,-15.3412469,H,-44.3,0.9,-54.1,0.6,6.006,T,5.868,T,5.790,B,5.695,5.679,5.634,
0747-0024625,.M,38.0217844,-15.2446769,H,-80.9,0.6,-146.8,0.6,5.146,T,4.749,T,4.480,B,3.834,3.524,3.472,
0777-0033002,.M,36.4875219,-12.2904797,H,-11.7,0.8,-11.3,0.5,4.844,T,4.864,T,4.870,B,5.075,4.865,4.810,
0746-0020441,.M,30.7440378,-15.3059322,H,25.6,0.7,7.3,0.5,6.817,T,5.870,T,5.280,B,4.299,3.744,3.741,
0754-0025545,YM,40.3922042,-14.5492761,H,-5.8,0.8,55.8,0.6,6.376,T,5.983,T,5.710,B,5.150,4.934,4.841,
0761-0027592,.M,41.0306244,-13.8586964,H,-7.5,0.8,-8.4,0.6,4.114,T,4.227,T,4.300,B,4.429,4.461,4.504,
0773-0049802,YM,52.4001131,-12.6747369,H,7.7,0.7,4.9,0.5,5.729,T,5.581,T,5.490,B,5.213,5.100,5.027,
0787-0032638,YM,52.0039467,-11.2865997,H,-1.4,1.3,-46.3,0.7,6.843,T,5.736,T,5.070,B,3.919,3.329,3.245,
0788-0035235,YM,53.9902756,-11.1937822,H,23.6,0.9,80.5,0.7,6.472,T,5.587,T,5.030,B,4.286,3.661,3.662,
0802-0036457,.M,55.8120908,-9.7633947,H,-91.7,0.9,742.2,0.9,4.436,T,3.525,T,2.960,B,2.060,1.729,1.618,
0805-0035214,.M,53.2326839,-9.4582622,H,-976.4,0.9,17.9,0.9,4.598,T,3.721,T,3.160,B,2.228,1.879,1.776,
0811-0031942,.M,48.9584356,-8.8197300,H,-3.8,1.2,45.5,0.8,5.007,T,4.798,T,4.670,B,4.418,4.254,4.224,
0800-0029525,YM,45.4838289,-9.9614069,H,43.5,0.6,-5.5,0.5,6.938,T,5.844,T,5.170,B,4.054,3.395,3.314,
0831-0055218,YM,52.4130742,-6.8044581,H,-84.9,1.3,-89.9,0.7,6.995,T,5.995,T,5.380,B,4.674,3.947,3.919,
0781-0037943,YM,39.8909758,-11.8721561,H,172.0,1.5,-236.3,1.3,5.222,T,4.832,T,4.570,B,4.036,3.741,3.765,
0811-0028736,.M,44.1068736,-8.8981447,H,77.7,0.6,-219.9,0.6,4.985,T,3.897,T,,,2.116,1.582,1.471,
0805-0026431,YM,40.0517575,-9.4528753,H,-138.4,0.6,-78.6,0.7,6.266,T,5.799,T,5.480,B,4.907,4.655,4.530,
0792-0023118,YM,35.5063819,-10.7775339,H,153.4,1.0,-81.8,0.8,5.759,T,5.430,T,5.210,B,4.676,4.761,4.522,
0821-0030921,YM,38.6776047,-7.8594453,H,60.3,0.7,-64.4,0.6,7.156,T,5.742,T,4.860,B,3.245,2.528,2.394,
0821-0031242,YM,39.0002011,-7.8315972,H,-33.5,0.7,-59.2,0.7,7.139,T,5.554,T,4.670,B,2.221,1.407,1.187,
0823-0042042,YM,45.2917672,-7.6630117,H,97.7,1.0,-72.0,0.7,6.801,T,5.756,T,5.120,B,4.126,3.508,3.354,
