HR,Name,HD,ADS,VarID,RAJ2000,DEJ2000,Vmag,B-V,SpType,NoteFlag
416,,8779,,,01 26 27.3,-00 23 55,6.41,1.24,K0IV,
417,48Ome And,8799,1152,,01 27 39.4,+45 24 24,4.83,0.42,F5IV,*
418,,8801,1151,,01 27 26.6,+41 06 02,6.46,0.27,A7m,*
419,,8803,1148,,01 26 53.5,+03 32 07,6.58,-0.04,B9V+A8V,*
420,,8810,,,01 25 05.3,-64 22 10,5.93,1.56,K5III,
421,47    Cet,8829,,512,01 26 51.6,-13 03 24,5.66,0.35,F0IIIDel Del,
422,,8837,,,01 27 47.0,+40 20 08,6.60,-0.04,A0III,*
423,,8879,,R Scl,01 26 58.1,-32 32 35,5.79,3.86,C6II,*
424,1Alp UMi,8890,1477,Alp UMi,02 31 48.7,+89 15 51,2.02,0.60,F7:Ib-II,*
425,,8921,1162,,01 27 46.6,-10 54 06,6.13,1.32,K4III-IV,
426,,8949,,519,01 28 22.9,+07 57 41,6.20,1.12,K1III,*
427,38    Cas,9021,,,01 31 13.8,+70 15 53,5.81,0.47,F6V,*
428,,9030,,,01 30 52.3,+66 05 53,6.14,0.08,A2V s,*
429,Gam Phe,9053,,Gam Phe,01 28 21.9,-43 19 06,3.41,1.57,M0-IIIa,*
430,49    And,9057,,,01 30 06.2,+47 00 26,5.27,1.00,K0III,
431,,9065,,WZ Scl,01 28 43.3,-33 45 49,6.58,0.30,F0IV,*
432,97    Psc,9100,,VX Psc,01 29 52.9,+18 21 20,6.02,0.14,A4IV,*
433,48    Cet,9132,1184,,01 29 36.1,-21 37 46,5.12,0.02,A1V,
434,98Mu  Psc,9138,,,01 30 11.1,+06 08 38,4.84,1.37,K4III,*
435,,9184,,AW Phe,01 29 30.4,-46 45 23,6.31,1.66,M2III,*
436,,9228,1193,,01 30 22.9,-26 12 28,5.93,1.34,K4III,*
437,99Eta Psc,9270,1199,532,01 31 29.0,+15 20 45,3.62,0.97,G7IIIa,*
438,,9298,,,01 32 07.6,+34 48 00,6.39,-0.12,B7IIIpHgMn,
439,,9352,,,01 33 25.8,+58 19 39,5.70,1.52,K0Ib+B9V,*
440,Del Phe,9362,,,01 31 15.1,-49 04 22,3.95,0.99,K0III,
441,,9377,,,01 31 43.3,-30 17 00,5.82,1.08,K0III,
442,39Chi Cas,9408,,,01 33 55.9,+59 13 55,4.71,1.00,G9IIIb,
443,,9414,,,01 31 39.1,-45 34 32,6.17,0.06,A2V,*
444,,9484,,Var,01 33 03.5,-09 00 53,6.59,-0.04,A0III,*
445,,9525,,,01 32 56.0,-36 51 55,5.51,1.02,K0III,
446,,9531,,KK And,01 34 16.6,+37 14 14,5.88,-0.07,B9IV,*
447,,9544,,,01 32 36.3,-49 43 40,6.28,0.46,F4V,
448,,9562,,,01 33 42.9,-07 01 31,5.76,0.64,G2IV,
449,,9612,,,01 37 22.5,+74 18 03,6.58,0.03,B9Ve,
450,,9640,,,01 34 49.1,+18 27 38,5.89,1.52,M2IIIab,
451,49    Cet,9672,,,01 34 37.8,-15 40 34,5.63,0.07,A3V,
452,,9712,,,01 35 52.5,+41 04 35,6.38,1.11,K1III,
453,,9742,,,01 34 50.7,-31 53 32,6.12,1.11,K0-1III,
454,,9746,,OP And,01 36 27.2,+48 43 22,5.92,1.21,gK1,*
455,101    Psc,9766,,559,01 35 46.4,+14 39 41,6.22,-0.04,B9.5III,
456,40    Cas,9774,1268,567,01 38 30.9,+73 02 24,5.28,0.96,G8III,
457,,9780,,,01 35 54.8,+17 26 01,5.80,,F0IV,
458,50Ups And,9826,,,01 36 47.8,+41 24 20,4.09,0.54,F8V,*
459,50    Cet,9856,,,01 35 59.0,-15 24 01,5.42,1.21,K2IIIaBa0.2CN1,
460,,9896,,561,01 35 15.2,-58 08 22,6.01,0.38,F2V,*
461,,9900,,,01 38 07.6,+57 58 39,5.56,1.38,G5II,*
462,Tau Scl,9906,,,01 36 08.4,-29 54 27,5.69,0.33,F2V,*
463,102Pi  Psc,9919,,,01 37 05.9,+12 08 30,5.57,0.35,F0V,
464,51    And,9927,,,01 37 59.6,+48 37 42,3.57,1.28,K3-III,*
465,,9996,,GY And,01 38 31.7,+45 24 00,6.36,0.04,B9pCrEu,*
466,,10009,,,01 37 37.7,-09 24 14,6.24,0.53,F7V,*
467,,10042,,,01 33 39.2,-78 30 17,6.11,0.97,K0III,*
468,,10052,,,01 36 44.8,-58 16 15,6.18,1.61,M3III,
469,52Chi And,10072,,,01 39 21.0,+44 23 10,4.98,0.89,G8III,
470,,10110,,,01 40 13.1,+53 52 06,6.39,1.61,K5III,
471,,10142,,,01 38 27.4,-36 31 42,5.94,1.05,K0IV,*
472,Alp Eri,10144,,Var,01 37 42.9,-57 14 12,0.46,-0.16,B3Vpe,*
473,,10148,,,01 38 51.8,-21 16 31,5.58,0.34,A4n,
474,,10161,1298,,01 38 50.0,-25 01 19,6.70,-0.08,B9Vn,
475,105    Psc,10164,,,01 39 40.8,+16 24 21,5.97,1.12,K2III,
476,,10204,,,01 40 39.8,+43 17 52,5.61,0.21,sgA9,*
477,53Tau And,10205,1311,584,01 40 34.8,+40 34 37,4.94,-0.09,B8III,*
478,43    Cas,10221,,V557 Cas,01 42 20.5,+68 02 35,5.59,-0.07,A0pSiSr,*
479,,10241,,,01 38 48.2,-53 26 20,6.84,0.44,F5IV-V,*
480,42    Cas,10250,,590,01 42 55.9,+70 37 21,5.18,-0.04,B9V,*
481,,10260,,,01 42 03.0,+61 02 18,6.71,-0.03,B8IIIpSi,*
482,,10293,1334,,01 42 17.8,+58 37 40,6.37,-0.02,B8III,*
483,,10307,,,01 41 47.2,+42 36 49,4.95,0.62,G1.5V,*
484,,10308,1326,,01 41 18.4,+25 44 45,6.17,0.44,F2III,*
485,,10348,,,01 41 39.2,+30 02 50,5.99,1.01,K0III,*
486,,10360,,,01 39 47.4,-56 11 53,5.87,0.90,K0V,*
487,,10361,,,01 39 47.8,-56 11 41,5.76,0.87,K5V,*
488,,10362,,,01 42 58.4,+61 25 18,6.34,0.01,B7II,*
489,106Nu  Psc,10380,,,01 41 25.9,+05 29 15,4.44,1.36,K3IIIbBa0.1,
490,,10390,,,01 42 03.5,+35 14 44,5.64,-0.07,B9IV-V,
491,44    Cas,10425,1344,,01 43 19.7,+60 33 04,5.78,-0.02,B8IIIn,*
492,,10453,1339,,01 41 44.7,-11 19 29,5.75,0.44,F5V+F7V,*
493,107    Psc,10476,,600,01 42 29.8,+20 16 07,5.24,0.84,K1V,
494,,10481,,,01 41 27.3,-38 07 59,6.17,0.42,F2V,
495,,10486,,,01 43 16.5,+45 19 20,6.34,1.01,K2IV,*
496,Phi Per,10516,,Phi Per,01 43 39.6,+50 41 19,4.07,-0.04,B2Vep,*
497,Pi  Scl,10537,,,01 42 08.6,-32 19 37,5.25,1.05,K0III,*
498,,10538,,,01 42 03.0,-36 49 57,5.72,-0.01,A1V,
499,,10543,1359,,01 44 17.9,+57 32 11,6.21,0.10,A3V,*
500,,10550,,,01 42 43.5,-03 41 25,4.99,1.38,K3II-III,
501,,10553,,,01 41 41.1,-50 02 20,6.64,0.12,A3V,
502,,10587,,,01 44 46.1,+57 05 21,6.25,0.04,A2V,
503,,10588,,Var?,01 43 50.0,+32 11 30,6.34,,G8III-IV,*
504,,10597,,,01 44 26.5,+46 08 23,6.35,,K5III,
